band,x,y,spatial_ref,admin_commune_2024_10m_b1,admin_quartiers_2024_10m_b1,air_temperature_2017_month_mean_10m_b12,dem_2019_10m_b1,dem_aspect_2019_10m_b1,dem_slope_2019_10m_b1,dem_surface_model_2019_10m_b1,flood_map_2021_10m_b1,hrl_treecover_2018_10m_b1,land_cover_2021_10m_b1,land_use_07_15_18_21_10m_b4,pH_CaCl_10m_b1,protected_areas_2023_10m_b1,public_forests_2024_10m_b1,shadow_2019_10m_b1,soil_map_25000_10m_main_classes_b1,soil_nitrat_10m_b1,twi_2019_10m_b1,Heracleum Mantegazzianum
1,76835.0,74165.0,0,61.0,14.0,291.23868,256.0,90.0,2.8624053,260.70886,0.0,0.0,20.0,160.0,5.925163,0.0,-3.4028235e+38,0.64194703,5.0,2.0771947,0.40626213,False
1,76835.0,76745.0,0,35.0,18.0,289.9134,315.0,357.1376,26.593674,326.225,0.0,71.0,70.0,313.0,5.44214,0.0,1.0,0.81088,5.0,2.6121614,0.17249241,False
1,76835.0,79075.0,0,35.0,1.0,290.1073,242.0,59.036243,4.16874,242.6284,0.0,0.0,91.0,220.0,5.576651,0.0,-3.4028235e+38,0.08223442,2.0,2.5829878,0.22647221,False
1,76835.0,75195.0,0,75.0,26.0,290.11823,300.0,153.43495,3.1996014,322.28055,0.0,0.0,10.0,111.0,5.2557015,0.0,-3.4028235e+38,0.28038463,5.0,2.2127292,0.20263763,False
1,76835.0,74365.0,0,61.0,10.0,291.33984,279.0,243.43495,3.1996014,282.60233,0.0,0.0,70.0,111.0,5.6864614,0.0,-3.4028235e+38,0.5324851,5.0,1.967245,0.2108859,False
1,76835.0,78455.0,0,35.0,1.0,286.7593,294.0,100.00798,12.17678,302.184,0.0,76.0,91.0,313.0,5.346177,0.0,1.0,0.6756078,5.0,2.2823465,0.19917311,False
1,76835.0,78015.0,0,35.0,18.0,286.7822,337.0,-9999.0,0.0,337.6762,0.0,0.0,91.0,234.0,5.384694,0.0,-3.4028235e+38,0.10471848,3.0,2.149217,0.20458007,False
1,76835.0,76145.0,0,75.0,27.0,289.91904,318.0,108.43495,2.263636,328.07507,0.0,0.0,20.0,111.0,5.3723173,0.0,-3.4028235e+38,0.47678143,5.0,2.2819107,0.19515412,False
1,76835.0,70015.0,0,0.0,0.0,289.62265,294.0,270.0,2.8624053,321.11746,0.0,65.0,70.0,0.0,5.194795,0.0,-3.4028235e+38,0.57200867,4.0,2.7092597,0.19419724,False
1,76835.0,74985.0,0,75.0,26.0,290.92688,295.0,246.8014,5.438008,320.2379,0.0,69.0,70.0,133.0,5.2610993,0.0,-3.4028235e+38,0.6072382,5.0,2.0685418,0.20931824,False
1,76835.0,72015.0,0,61.0,11.0,290.1845,297.0,45.0,4.0446916,318.96597,0.0,0.0,10.0,210.0,6.1696877,0.0,-3.4028235e+38,0.72456264,8.0,1.9599067,0.20225047,False
1,76835.0,72205.0,0,61.0,11.0,289.76514,291.0,45.0,3.0357237,313.55774,0.0,0.0,10.0,210.0,6.14208,0.0,-3.4028235e+38,0.18442145,8.0,1.8545682,0.20225362,False
1,76835.0,75145.0,0,75.0,26.0,290.11823,299.0,-9999.0,0.0,313.4334,0.0,0.0,10.0,111.0,5.255408,0.0,-3.4028235e+38,0.46836585,5.0,2.1424546,0.21890607,False
1,76835.0,74865.0,0,75.0,26.0,290.95145,291.0,161.56505,4.520228,309.5739,0.0,67.0,70.0,111.0,5.279461,0.0,-3.4028235e+38,0.7382061,5.0,1.933569,0.19029163,False
